Location,Date,Doy,Tmax,Tmin,Radiation,ET0,GrowingDegreeDaysRate,GrowingDegreeDays,FloweringDOY,MaturityDOY,Trate,cumT,LightInterception, LeafAreaIndex, AGBrate, AGBstate,Yield
Cadriano,4/30/1999 12:00:00 AM,120, 23.66, 9.91, 26.2, 4.89989034057523, 6.785, 6.785, 0, 0,0.00244933278606323,0.00244933278606323,0.00654836277288229,0,0,0,0
Cadriano,5/1/1999 12:00:00 AM,121, 24.48, 9.02, 25.6, 5.11767992989032, 6.75, 13.535, 0, 0,0.00329295890466151,0.00574229169072474,0.00823612937055458,0.00028730941666021,0.110503621792389,0.110503621792389,0
Cadriano,5/2/1999 12:00:00 AM,122, 23.33, 12.33, 25.1, 4.27819582248077, 7.83, 21.365, 0, 0,0.00364878637674674,0.00939107806747148,0.0107036402559101,0.000706487220974586,0.161222232428606,0.271725854220994,0
Cadriano,5/3/1999 12:00:00 AM,123, 24.57, 11.09, 16, 3.05852325323256, 7.83, 29.195, 0, 0,0.00344081180079155,0.012831889868263,0.00899992974623931,0.00125124899179913,0.20952375800944,0.481249612230435,0
Cadriano,5/4/1999 12:00:00 AM,124, 21.93, 13.56, 10, 1.46212476782698, 7.745, 36.94, 0, 0,0.00197569640792394,0.014807586276187,0.00675625107855959,0.00170432795504918,0.174261139711559,0.655510751941993,0
Cadriano,5/5/1999 12:00:00 AM,125, 19.22, 13.11, 12.8, 1.4981087340963, 6.165, 43.105, 0, 0,0.002226830893769,0.017034417169956,0.00951313973128833,0.00197506782639476,0.1041307197483,0.759641471690293,0
Cadriano,5/6/1999 12:00:00 AM,126, 20.01, 11.26, 12.5, 1.74533670262514, 5.635, 48.74, 0, 0,0.0028979138208538,0.0199323309908098,0.0103773451581544,0.00232351035190253,0.134016355964524,0.893657827654817,0
Cadriano,5/7/1999 12:00:00 AM,127, 21.93, 10.42, 15.8, 2.61759939912262, 6.175, 54.915, 0, 0,0.00489037753960116,0.0248227085304109,0.0147593182424319,0.00274003104318795,0.160200265879009,1.05385809353383,0
Cadriano,5/8/1999 12:00:00 AM,128, 24.09, 11.68, 14.7, 2.68577746344548, 7.885, 62.8, 0, 0,0.0060314936872041,0.030854202217615,0.0165060133254968,0.00349648300140819,0.290943060853938,1.34480115438776,0
Cadriano,5/9/1999 12:00:00 AM,129, 20.5, 12.74, 12.2, 1.64961276735414, 6.62, 69.42, 0, 0,0.00428896441394437,0.0351431666315594,0.0158598935718858,0.00420673675480432,0.273174520536973,1.61797567492474,0
