Location,Date,Doy,Tmax,Tmin,Radiation,ET0,GrowingDegreeDaysRate,GrowingDegreeDays,FloweringDOY,MaturityDOY,Trate,cumT,LightInterception, LeafAreaIndex, AGBrate, AGBstate,Yield
Cadriano,4/30/1999 12:00:00 AM,120, 23.66, 9.91, 26.2, 4.89989034057523, 6.785, 6.785, 0, 0,0.00244933278606323,0.00244933278606323,0.00654836277288229,0,0,0,0
Cadriano,5/1/1999 12:00:00 AM,121, 24.48, 9.02, 25.6, 5.11767992989032, 6.75, 13.535, 0, 0,0.00255820036155882,0.00500753314762206,0.00639840026663308,0,0,0,0
Cadriano,5/2/1999 12:00:00 AM,122, 23.33, 12.33, 25.1, 4.27819582248077, 7.83, 21.365, 0, 0,0.00213856322588043,0.00714609637350249,0.0062734315114254,0,0,0,0
Cadriano,5/3/1999 12:00:00 AM,123, 24.57, 11.09, 16, 3.05852325323256, 7.83, 29.195, 0, 0,0.00152887937492084,0.00867497574842332,0.00399900016664567,0,0,0,0
Cadriano,5/4/1999 12:00:00 AM,124, 21.93, 13.56, 10, 1.46212476782698, 7.745, 36.94, 0, 0,0.000730879648774605,0.00940585539719793,0.00249937510415355,0,0,0,0
Cadriano,5/5/1999 12:00:00 AM,125, 19.22, 13.11, 12.8, 1.4981087340963, 6.165, 43.105, 0, 0,0.000748867134663055,0.010154722531861,0.00319920013331654,0,0,0,0
Cadriano,5/6/1999 12:00:00 AM,126, 20.01, 11.26, 12.5, 1.74533670262514, 5.635, 48.74, 0, 0,0.000872450220581345,0.0110271727524423,0.00312421888019193,0,0,0,0
Cadriano,5/7/1999 12:00:00 AM,127, 21.93, 10.42, 15.8, 2.61759939912262, 6.175, 54.915, 0, 0,0.00130847255416287,0.0123356453066052,0.0039490126645626,0,0,0,0
Cadriano,5/8/1999 12:00:00 AM,128, 24.09, 11.68, 14.7, 2.68577746344548, 7.885, 62.8, 0, 0,0.00134255306548646,0.0136781983720917,0.00367408140310571,0,0,0,0
Cadriano,5/9/1999 12:00:00 AM,129, 20.5, 12.74, 12.2, 1.64961276735414, 6.62, 69.42, 0, 0,0.000824600216443754,0.0145027985885354,0.00304923762706732,0,0,0,0
Cadriano,5/10/1999 12:00:00 AM,130, 25.75, 12.07, 24.5, 4.88241640369195, 8.91, 78.33, 0, 0,0.00244059800149971,0.0169433965900351,0.00612346900517619,0,0,0,0
Cadriano,5/11/1999 12:00:00 AM,131, 25.88, 13.78, 20.7, 3.95668384428571, 9.83, 88.16, 0, 0,0.00197784741908285,0.018921244009118,0.00517370646559784,0,0,0,0
Cadriano,5/12/1999 12:00:00 AM,132, 27.05, 13.61, 15.4, 3.16889673118589, 10.33, 98.49, 0, 0,0.00210779086790029,0.0210290348770183,0.00512165307348418,0.000330742120079506,0.127208507722887,0.127208507722887,0
Cadriano,5/13/1999 12:00:00 AM,133, 28.46, 14.49, 19.6, 4.25916052100946, 11.475, 109.965, 0, 0,0.00348916002696764,0.0245181949039859,0.00802828822619219,0.000639097645434963,0.118598278982868,0.245806786705755,0
Cadriano,5/14/1999 12:00:00 AM,134, 27.14, 15.29, 25.3, 4.97641900567582, 11.215, 121.18, 0, 0,0.00529516279590001,0.0298133576998859,0.0134602430566512,0.00112923467700428,0.188514242911275,0.43432102961703,0
Cadriano,5/15/1999 12:00:00 AM,135, 23.01, 14.7, 13, 1.96112695022461, 8.855, 130.035, 0, 0,0.0028915084343207,0.0327048661342066,0.00958367576404573,0.00195099934091666,0.316063332273991,0.750384361891022,0
Cadriano,5/16/1999 12:00:00 AM,136, 22.79, 13.59, 18.2, 2.84237616095996, 8.19, 138.225, 0, 0,0.00502101567117697,0.0377258818053836,0.0160750161204135,0.00253609472590635,0.225036686534499,0.97542104842552,0
Cadriano,5/17/1999 12:00:00 AM,137, 18.06, 12.26, 5.8, 0.637328339706041, 5.16, 143.385, 0, 0,0.00143793906997527,0.0391638208753588,0.00654297485790709,0.00351749455382775,0.37746147227746,1.35288252070298,0
Cadriano,5/18/1999 12:00:00 AM,138, 23.97, 11.84, 12.3, 2.21992447688193, 7.905, 151.29, 0, 0,0.00545092709278615,0.044614747968145,0.0151010549997273,0.00391695134762155,0.153637228382231,1.50651974908521,0
